index,hora,clave,empleado_clave,grupo,salon,dia
0,N1,259,103765,007,2301,4
1,N1,318,85690,014,LME4,1
2,N1,318,85690,014,LME4,3
3,N1,318,85690,014,LME4,5
4,N4,404,85692,037,3103,1
5,N4,404,85692,037,3103,3
6,N4,404,85692,037,3103,5
7,V5,040,97686,022,6303,1
8,V5,040,97686,022,6303,3
9,V5,040,97686,022,6303,5
10,N2,105,83644,019,2202,1
11,N2,105,83644,019,2202,3
12,N2,105,83644,019,2202,5
13,V3,219,85810,007,elec1,1
14,V3,219,85810,007,elec1,3
15,V3,219,85810,007,elec1,5
16,N1,502,85337,026,2303,1
17,N1,502,85337,026,2303,3
18,N1,502,85337,026,2303,5
19,V6,603,94965,016,2205,1
20,V6,603,94965,016,2205,3
21,V6,603,94965,016,2205,5
22,M6,610,96184,004,2202,1
23,M6,610,96184,004,2202,3
24,M6,610,96184,004,2202,5
25,M4,005,18099,010,1205,2
26,M1,210,83979,004,1101,1
27,M1,210,83979,004,1101,3
28,M1,210,83979,004,1101,5
29,M3,232,12870,005,CIS4,1
30,M3,232,12870,005,CIS4,3
31,M3,232,12870,005,CIS4,5
32,M2,301,95846,005,7101,1
33,M2,301,95846,005,7101,3
34,M2,301,95846,005,7101,5
35,M4,603,1318,006,3102,1
36,M4,603,1318,006,3102,3
37,M4,603,1318,006,3102,5
38,N4,108,92545,004,1302,4
39,N1,150,95500,030,4107,4
40,V5,158,82911,005,4101,1
41,V5,158,82911,005,4101,3
42,V5,158,82911,005,4101,5
43,V4,619,91734,004,5111,2
44,N1,744,60216,001,3102,1
45,N1,744,60216,001,3102,3
46,N1,744,60216,001,3102,5
47,N5,772,908,024,3333,4
48,N4,040,93994,030,1105,2
49,N5,512,11327,008,9103,1
50,N5,512,11327,008,9103,3
51,N5,512,11327,008,9103,5
52,N4,530,94965,011,1301,4
53,N4,020,101148,027,6301,4
54,M1,081,97877,003,2304,4
55,M3,100,86189,011,4112,1
56,M3,100,86189,011,4112,3
57,M3,100,86189,011,4112,5
58,N5,160,93603,014,4201,1
59,N5,160,93603,014,4201,3
60,N5,160,93603,014,4201,5
61,M5,164,92116,002,3108,1
62,M5,164,92116,002,3108,3
63,M5,164,92116,002,3108,5
64,N1,224,15454,004,1303,2
65,N5,248,2371,005,7206,1
66,N5,248,2371,005,7206,3
67,N5,248,2371,005,7206,5
68,N1,258,100106,002,7222,1
69,N1,258,100106,002,7222,3
70,N1,258,100106,002,7222,5
71,N1,738,91460,002,7205,4
72,N4,741,98081,006,7204,2
73,M1,930,92548,023,ss3,6
74,M1,006,93998,003,6305,4
75,N1,416,85756,002,2205,4
76,V3,493,85344,017,5101,1
77,V3,493,85344,017,5101,3
78,V3,493,85344,017,5101,5
79,M2,530,18307,001,LME-4,1
80,M2,530,18307,001,LME-4,3
81,M2,530,18307,001,LME-4,5
82,N1,705,104105,002,lvib,2
83,N1,006,101148,009,6303,1
84,N1,006,101148,009,6303,3
85,N1,006,101148,009,6303,5
86,N4,414,85007,004,LVIB,4
87,V6,705,3813,001,1202,1
88,V6,705,3813,001,1202,3
89,V6,705,3813,001,1202,5
90,N4,062,101294,018,9205,4
91,N3,200,2360,020,LVIB,1
92,N3,200,2360,020,LVIB,3
93,N3,200,2360,020,LVIB,5
94,N1,220,10673,009,7215,2
95,N5,222,16332,015,2204,1
96,N5,222,16332,015,2204,3
97,N5,222,16332,015,2204,5
98,N1,492,97051,005,9203,4
99,N2,805,91734,019,9103,1
100,N2,805,91734,019,9103,3
101,N2,805,91734,019,9103,5
102,N4,081,96470,038,6302,4
103,N1,122,97559,003,9102,2
104,N4,156,13703,007,4111,2
105,N1,705,95541,003,7111,4
106,N5,772,19378,021,4444,1
107,N1,150,18592,026,4101,1
108,N1,150,18592,026,4101,3
109,N1,150,18592,026,4101,5
110,V6,744,60216,003,2301,1
111,V6,744,60216,003,2301,3
112,V6,744,60216,003,2301,5
113,N2,745,82756,003,2107,1
114,N2,745,82756,003,2107,3
115,N2,745,82756,003,2107,5
116,N3,863,4788,002,7206,1
117,N3,863,4788,002,7206,3
118,N3,863,4788,002,7206,5
119,V2,117,12855,003,4108,1
120,V2,117,12855,003,4108,3
121,V2,117,12855,003,4108,5
122,M3,138,93994,006,4111,1
123,M3,138,93994,006,4111,3
124,M3,138,93994,006,4111,5
125,M4,863,95168,001,7204,4
126,V3,866,98027,003,7215,1
127,V3,866,98027,003,7215,3
128,V3,866,98027,003,7215,5
129,N4,867,98027,003,eleII,1
130,N4,867,98027,003,eleII,3
131,N4,867,98027,003,eleII,5
132,N6,P12,12776,004,4444,6
133,V2,004,9076,043,6305,1
134,V2,004,9076,043,6305,3
135,V2,004,9076,043,6305,5
136,V4,005,93967,021,1203,1
137,V4,005,93967,021,1203,3
138,V4,005,93967,021,1203,5
139,V3,100,11158,050,4109,1
140,V3,100,11158,050,4109,3
141,V3,100,11158,050,4109,5
142,V1,503,16118,006,1304,1
143,V1,503,16118,006,1304,3
144,V1,503,16118,006,1304,5
145,V1,530,94965,012,LME2,4
146,N3,113,60614,006,9105,1
147,N3,113,60614,006,9105,3
148,N3,113,60614,006,9105,5
149,N1,115,97850,002,3107,4
150,N6,155,104656,015,2202,1
151,N6,155,104656,015,2202,3
152,N6,155,104656,015,2202,5
153,N2,411,98794,006,3102,1
154,N2,411,98794,006,3102,3
155,N2,411,98794,006,3102,5
156,N4,745,93999,010,2202,1
157,N4,745,93999,010,2202,3
158,N4,745,93999,010,2202,5
159,V3,772,fi9030,028,6666,6
160,N1,005,93246,039,6306,2
161,N4,328,16119,009,7101,2
162,M4,401,85007,006,2202,4
163,V4,411,104105,010,7117,4
164,N6,503,95998,013,2205,1
165,N6,503,95998,013,2205,3
166,N6,503,95998,013,2205,5
167,N4,512,100107,007,9102,4
168,M4,081,95958,005,5303,1
169,M4,081,95958,005,5303,3
170,M4,081,95958,005,5303,5
171,M4,103,84614,018,9303,2
172,M6,603,93248,040,9304,1
173,M6,603,93248,040,9304,3
174,M6,603,93248,040,9304,5
175,M5,815,96544,003,4112,1
176,M5,815,96544,003,4112,3
177,M5,815,96544,003,4112,5
178,N1,772,19378,007,sab,6
179,N1,930,938,006,SS,6
180,N4,114,93604,017,9201,2
181,N4,611,95508,034,2106,1
182,N4,611,95508,034,2106,3
183,N4,611,95508,034,2106,5
184,N2,816,93249,012,INFB,1
185,N2,816,93249,012,INFB,3
186,N2,816,93249,012,INFB,5
187,N6,828,93603,013,4201,1
188,N6,828,93603,013,4201,3
189,N6,828,93603,013,4201,5
